product_name,review,price,discount_price,date
Guitarra Acústica Clasica 38 Inch  Con Funda Y Accesorios,None,"1,660","1,278",2024/02/04
Careta De Soldar Uso Industrial Soldadura Electronica Diseño,None,392,189,2024/02/04
Smartwatch Huawei Band 6 1.47'' Amoled Bluetooth 5.0 Negro,4.8,616,499,2024/02/04
"Playstation 5 Slim Disco, 1tb, Juego Spiderman 2 Descargable Color Blanco",4.9,"16,666","10,799",2024/02/04
Colchon De Espuma Atma Smooth Top Matrimonial 135x190x30 Cm Blanco/gris,None,"8,399","3,799",2024/02/04
Mochila Escolar Viaje Bolsa  P/ Laptop 15.6 Inch Iforu 30l,4.7,599,293,2024/02/04
Parrilla A Gas Premiun Nube Plateada 5 Quemadores Color Plateado,None,"4,999","1,989",2024/02/04
Silla De Oficina Ejecutiva Reclinable Ergonomica Reposapiés Color Negro,4.7,"2,499","1,499",2024/02/04
Mesa Plegable Plástico Tipo Portafolio 1.80m Portátil Jardín Color Negro,None,"1,958",949,2024/02/04
Xiaomi Redmi 13C Dual SIM 128 GB midnight black 4 GB RAM,None,"2,429","2,040",2024/02/04
Set De 2 Bancos De Cocina Barra Silla Respaldo Alto Taburete,None,"2,999","1,739",2024/02/04
Consola Xbox Series S 512 Gb Nuevo Y Sellado De Fábrica,None,"6,849","5,342",2024/02/04
U Bárbara Pijama Quirúrgica Scrub Jogger Uniforme Antifluido,None,999,439,2024/02/04
Proyectores Portátil Profesional Android Wifi Bluetooth 4k,None,"3,424","1,712",2024/02/04
Pistola Para Hidrolavadora Portatil Inalambrica Electrica,None,705,465,2024/02/04
Celular Xiaomi Poco M5 128gb 6ram 50mp Negro,None,"3,480","2,088",2024/02/04
"Bocina Bluetooth Portátil 1Hora BOC241, Bocinas para PC Bocinas Inalámbrica Bluetooth RGB Altavoces Inalámbrico, Soporte 3.5 mm AUX/TF/USB/Bluetooth para Interior, Hogar y Fiesta",4.7,298,265,2024/02/04
"Kirkland Minoxidil 5% Solución Tópica Tratamiento Regenerador Capilar, Formula Extra Fuerte Para Hombres. Tratamiento Para 6 Meses. Caducidad Amplia, Máxima Calidad Y Originalidad.",None,729,554,2024/02/04
Batería De Cocina Ekco 88194 32 Piezas Con Antiadherente,4.5,"2,359","1,698",2024/02/04
"Tablet  Xiaomi Redmi Pad Se 23073RPBFL 11"" 256GB y 8GB de memoria RAM",None,"4,793","4,125",2024/02/04
Refrigerador Single Door 7 Pies Cubicos Mdrd190ccndxw Midea Color Plateado,None,"7,699","4,965",2024/02/04
"Protector Solar Facial Nivea Sun Control De Brillo Fps 50, 50ml",None,271,169,2024/02/04
 Moto G84 5G Dual SIM 256 GB gris oscuro 12 GB RAM,4.6,"5,999","4,379",2024/02/04
Casco Para Moto R7 Racing R7-109 Negro Mate Certificado Dot ,None,"2,165",952,2024/02/04
Smart Tv Pantalla Led De 43 Pulgadas Amaz 110v/240v,None,"6,471","3,883",2024/02/04
Tenis Puma Para Hombre Flyer Runner Zapato Deportivo G,None,"1,499",953,2024/02/04
990nm Juego De Llave De Impacto De 21 V Con 2 1288vf Batería,None,"3,492","1,362",2024/02/04
Suicide Squad: Kill The Justice League - Playstation 5,None,"1,599","1,199",2024/02/04
Celular Cubot P60 4g Dual Sim 128 Gb Global 6 Gb Ram Android,None,"3,064","1,626",2024/02/04
